argument: arg
buffer: buf
clock: clk
command: cmd
compare: cmp
configuration: cfg
device: dev
error: err
hexadecimal: hex
incremental: inc
initialize: init
maximum: max
message: msg
minimum: min
parameter: para
previous: prev
register: reg
semaphore: sem
statistic: stat
synchronize: sync
temporary: tmp
memory: mem
length: len
destination: dst
source: src
address: addr
socket: sock
string: str
utility: util
context: ctx
connection: conn
database: db
process: proc
allocate: alloc
standard: std
configuration: config
parameter: param
parameters: params
format: fmt
library: lib
pointer: ptr
number: num
attribute: attr
vector: vec
environment: env
character: char
character: chr
request: req
response: resp
function: fn
duplicate: dup
differ: diff
difference: diff
resolve: resolv
line: ln
interface: if
operation: op
operator: op
information: info
asynchronous: async
synchronous: sync
synchronize: sync
structure: struct
event: evt
controlblock: cb
filedescriptor: fd
server: serv
value: val
multiple: multi
multiply: mul
limit: lim
system: sys
control: ctl
control: ctrl
signal: sig
child: chld
integer: int
location: loc
receive: recv
message: msg
symbol: sym
dictionary: dict
